orig_cfs_code,dest_cfs_code,truck,rail,water,air
01142,01380,750.0,0.0,0.0,0.0
01142,0199999,9113.0,2.0,0.0,0.0
01142,0438060,36.0,0.0,0.0,0.0
01142,0446060,0.0,0.0,0.0,0.0
01142,0499999,0.0,0.0,0.0,0.0
01142,0599999,346.0,31.0,0.0,0.0
01142,06348,118.0,0.0,0.0,0.0
01142,06472,0.0,0.0,0.0,0.0
01142,0641740,0.0,0.0,0.0,0.0
01142,06488,0.0,0.0,0.0,0.0
01142,0699999,56.0,0.0,0.0,0.0
01142,08216,24.0,0.0,0.0,0.0
01142,0899999,0.0,0.0,0.0,0.0
01142,09278,9.0,0.0,0.0,0.0
01142,09408,9.0,0.0,0.0,0.0
01142,0999999,0.0,0.0,0.0,0.0
01142,1099999,11.0,0.0,0.0,0.0
01142,1147900,0.0,0.0,0.0,0.0
01142,1227260,90.0,0.0,0.0,0.0
01142,1233100,162.0,35.0,0.0,0.0
01142,12422,263.0,0.0,0.0,0.0
01142,1245300,127.0,0.0,0.0,0.0
01142,1299999,812.0,10.0,0.0,1.0
01142,13122,1538.0,7.0,0.0,0.0
01142,13496,58.0,0.0,0.0,0.0
01142,1399999,1038.0,10.0,0.0,0.0
01142,1699999,0.0,0.0,0.0,0.0
01142,17176,209.0,0.0,0.0,0.0
01142,17476,25.0,0.0,0.0,0.0
01142,1799999,81.0,0.0,0.0,0.0
01142,18176,0.0,55.0,0.0,0.0
01142,18294,49.0,0.0,0.0,0.0
01142,1899999,125.0,15.0,0.0,0.0
01142,1999999,70.0,0.0,0.0,0.0
01142,20312,20.0,0.0,0.0,0.0
01142,2099999,25.0,0.0,0.0,0.0
01142,21350,33.0,0.0,0.0,0.0
01142,2199999,249.0,0.0,0.0,0.0
01142,22132,102.0,0.0,0.0,0.0
01142,22324,0.0,0.0,0.0,0.0
01142,22406,227.0,0.0,0.0,0.0
01142,2299999,299.0,0.0,0.0,1.0
01142,2399999,18.0,0.0,0.0,0.0
01142,2412580,30.0,0.0,0.0,0.0
01142,2447900,25.0,0.0,0.0,0.0
01142,2499999,39.0,0.0,0.0,0.0
01142,25148,0.0,0.0,0.0,0.0
01142,2599999,0.0,0.0,0.0,0.0
01142,26220,97.0,0.0,0.0,2.0
01142,26266,24.0,0.0,0.0,0.0
01142,2699999,71.0,0.0,0.0,0.0
01142,27378,60.0,0.0,0.0,1.0
01142,2799999,13.0,0.0,0.0,0.0
01142,2899999,1295.0,0.0,0.0,0.0
01142,29312,21.0,0.0,0.0,0.0
01142,29476,30.0,0.0,0.0,0.0
01142,2999999,119.0,0.0,0.0,0.0
01142,3099999,0.0,0.0,0.0,0.0
01142,3199999,0.0,0.0,0.0,0.0
01142,32332,0.0,0.0,0.0,0.0
01142,3299999,0.0,0.0,0.0,0.0
01142,3399999,0.0,0.0,0.0,0.0
01142,34408,50.0,0.0,0.0,0.0
01142,34428,46.0,0.0,0.0,0.0
01142,3499999,0.0,0.0,0.0,0.0
01142,3599999,0.0,0.0,0.0,0.0
01142,36104,0.0,0.0,0.0,0.0
01142,36160,26.0,0.0,0.0,0.0
01142,36408,67.0,0.0,0.0,0.0
01142,36464,7.0,0.0,0.0,0.0
01142,3699999,0.0,0.0,0.0,0.0
01142,37172,222.0,11.0,0.0,0.0
01142,37268,88.0,0.0,0.0,0.0
01142,37450,83.0,0.0,0.0,0.0
01142,3799999,192.0,0.0,0.0,0.0
01142,3899999,0.0,0.0,0.0,0.0
01142,39178,42.0,0.0,0.0,0.0
01142,39184,36.0,0.0,0.0,0.0
01142,39198,59.0,0.0,0.0,0.0
01142,39212,0.0,0.0,0.0,0.0
01142,3999999,86.0,0.0,0.0,0.0
01142,40416,0.0,0.0,0.0,0.0
01142,40538,9.0,0.0,0.0,0.0
01142,4099999,48.0,0.0,0.0,0.0
01142,4138900,0.0,0.0,0.0,0.0
01142,4199999,0.0,0.0,0.0,0.0
01142,42428,62.0,0.0,0.0,0.0
01142,42430,78.0,0.0,0.0,0.0
01142,4299999,113.0,0.0,0.0,0.0
01142,4439300,0.0,0.0,0.0,0.0
01142,4516700,49.0,60.0,0.0,0.0
01142,45273,106.0,0.0,0.0,0.0
01142,4599999,164.0,16.0,0.0,0.0
01142,4699999,10.0,0.0,0.0,0.0
01142,4732820,98.0,0.0,0.0,0.0
01142,47400,469.0,0.0,0.0,0.0
01142,4799999,1164.0,9.0,0.0,0.0
01142,4812420,82.0,0.0,0.0,0.0
01142,4813140,20.0,0.0,0.0,0.0
01142,48204,0.0,0.0,0.0,0.0
01142,48206,230.0,0.0,0.0,0.0
01142,4821340,45.0,0.0,0.0,0.0
01142,48288,158.0,0.0,0.0,0.0
01142,4829700,40.0,0.0,0.0,0.0
01142,4841700,44.0,0.0,0.0,0.0
01142,4899999,376.0,0.0,0.0,0.0
01142,49482,9.0,0.0,0.0,0.0
01142,4999999,12.0,0.0,0.0,0.0
01142,5099999,0.0,0.0,0.0,0.0
01142,5140060,0.0,0.0,0.0,0.0
01142,5147260,0.0,0.0,0.0,0.0
01142,51548,13.0,0.0,0.0,0.0
01142,5199999,116.0,2.0,0.0,0.0
01142,53500,21.0,0.0,0.0,0.0
01142,5399999,49.0,0.0,0.0,0.0
01142,5499999,71.0,0.0,0.0,0.0
01142,55376,39.0,0.0,0.0,0.0
01142,5599999,117.0,0.0,0.0,1.0
01142,5699999,0.0,0.0,0.0,0.0
01380,01142,122.0,0.0,0.0,0.0
01380,0199999,710.0,21.0,0.0,0.0
01380,0438060,8.0,0.0,0.0,0.0
01380,0446060,0.0,0.0,0.0,0.0
01380,0499999,0.0,0.0,0.0,0.0
01380,0599999,22.0,0.0,0.0,0.0
01380,06348,147.0,0.0,0.0,0.0
01380,06472,0.0,42.0,0.0,0.0
01380,0641740,0.0,0.0,0.0,0.0
01380,06488,0.0,0.0,0.0,0.0
01380,0699999,0.0,0.0,0.0,0.0
01380,08216,0.0,0.0,0.0,0.0
01380,0899999,0.0,0.0,0.0,0.0
01380,09278,6.0,0.0,0.0,0.0
01380,09408,0.0,0.0,0.0,0.0
01380,0999999,0.0,0.0,0.0,0.0
01380,1099999,12.0,0.0,0.0,0.0
01380,1147900,0.0,0.0,0.0,0.0
01380,1227260,118.0,0.0,0.0,0.0
01380,1233100,63.0,0.0,0.0,0.0
01380,12422,58.0,0.0,0.0,0.0
01380,1245300,40.0,0.0,0.0,0.0
01380,1299999,641.0,0.0,0.0,0.0
01380,13122,402.0,0.0,0.0,0.0
01380,13496,130.0,1.0,0.0,0.0
01380,1399999,357.0,0.0,0.0,0.0
01380,1699999,0.0,0.0,0.0,0.0
01380,17176,100.0,0.0,0.0,0.0
01380,17476,0.0,0.0,0.0,0.0
01380,1799999,16.0,0.0,0.0,0.0
01380,18176,5.0,0.0,0.0,0.0
01380,18294,16.0,0.0,0.0,0.0
01380,1899999,43.0,0.0,0.0,0.0
01380,1999999,0.0,114.0,0.0,0.0
01380,20312,29.0,0.0,0.0,0.0
01380,2099999,9.0,0.0,0.0,0.0
01380,21350,29.0,0.0,0.0,0.0
01380,2199999,80.0,0.0,0.0,0.0
01380,22132,97.0,0.0,0.0,0.0
01380,22324,26.0,0.0,0.0,0.0
01380,22406,455.0,0.0,0.0,0.0
01380,2299999,222.0,0.0,0.0,0.0
01380,2399999,0.0,0.0,0.0,0.0
01380,2412580,0.0,0.0,0.0,0.0
01380,2447900,0.0,0.0,0.0,0.0
01380,2499999,0.0,0.0,0.0,0.0
01380,25148,34.0,0.0,0.0,0.0
01380,2599999,0.0,0.0,0.0,0.0
01380,26220,0.0,0.0,0.0,0.0
01380,26266,0.0,0.0,0.0,0.0
01380,2699999,13.0,0.0,0.0,0.0
01380,27378,33.0,0.0,0.0,0.0
01380,2799999,0.0,0.0,0.0,0.0
01380,2899999,971.0,0.0,0.0,0.0
01380,29312,0.0,0.0,0.0,0.0
01380,29476,0.0,0.0,0.0,0.0
01380,2999999,0.0,0.0,0.0,0.0
01380,3099999,0.0,0.0,0.0,0.0
01380,3199999,0.0,0.0,0.0,0.0
01380,32332,0.0,0.0,0.0,0.0
01380,3299999,0.0,0.0,0.0,0.0
01380,3399999,0.0,0.0,0.0,0.0
01380,34408,19.0,0.0,0.0,0.0
01380,34428,5.0,0.0,0.0,0.0
01380,3499999,0.0,0.0,0.0,0.0
01380,3599999,15.0,0.0,0.0,0.0
01380,36104,0.0,63.0,0.0,0.0
01380,36160,0.0,0.0,0.0,0.0
01380,36408,19.0,0.0,0.0,0.0
01380,36464,0.0,0.0,0.0,0.0
01380,3699999,0.0,0.0,0.0,0.0
01380,37172,33.0,0.0,0.0,0.0
01380,37268,41.0,0.0,0.0,0.0
01380,37450,12.0,0.0,0.0,0.0
01380,3799999,0.0,0.0,0.0,0.0
01380,3899999,0.0,0.0,0.0,0.0
01380,39178,0.0,0.0,0.0,0.0
01380,39184,70.0,0.0,0.0,0.0
01380,39198,0.0,63.0,0.0,0.0
01380,39212,0.0,0.0,0.0,0.0
01380,3999999,0.0,0.0,0.0,0.0
01380,40416,3.0,0.0,0.0,0.0
01380,40538,0.0,0.0,0.0,0.0
01380,4099999,0.0,0.0,0.0,0.0
01380,4138900,0.0,0.0,0.0,0.0
01380,4199999,0.0,100.0,0.0,0.0
01380,42428,15.0,0.0,0.0,0.0
01380,42430,0.0,0.0,0.0,0.0
01380,4299999,0.0,0.0,0.0,0.0
01380,4439300,6.0,0.0,0.0,0.0
01380,4516700,0.0,0.0,0.0,0.0
01380,45273,37.0,0.0,0.0,0.0
01380,4599999,158.0,0.0,0.0,0.0
01380,4699999,0.0,0.0,0.0,0.0
01380,4732820,46.0,0.0,0.0,2.0
01380,47400,33.0,0.0,0.0,0.0
01380,4799999,139.0,0.0,0.0,0.0
01380,4812420,20.0,0.0,0.0,0.0
01380,4813140,0.0,0.0,0.0,0.0
01380,48204,0.0,0.0,0.0,0.0
01380,48206,117.0,0.0,0.0,0.0
01380,4821340,10.0,0.0,0.0,0.0
01380,48288,242.0,0.0,0.0,1.0
01380,4829700,0.0,0.0,0.0,0.0
01380,4841700,0.0,0.0,0.0,0.0
01380,4899999,105.0,0.0,0.0,0.0
01380,49482,8.0,0.0,0.0,0.0
